Bladder	Blood	Bone_Marrow	Eye	Fat	Heart	Large_Intestine	Liver	Lung	Lymph_Node	Mammary	Muscle	Pancreas	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Thymus	Tongue	Trachea	Uterus	Vasculature
ESR1	291.551228264546	86.1132791953193	17.8964178245475	5.37646215087205	86.8604048913237	5.28343156142394	6.47896951511072	14.8700553233897	88.9044599472904	214.116423099621	80.1462948962773	682.15678046595	17.2067410644139	147.384006350305	130.249861693844	14.3028948169783	4.42595782086567	112.403175175546	238.003560418427	11.4492770275291	18.9072331718204	610.757867582513	134.719819782283
FOS	28503.3729128187	37955.5196594966	8552.86361166978	1485.95200847478	15471.9466236058	1166.07383163254	13970.0783036796	1248.56505892037	27054.7117998675	75694.669367638	1433.97008280119	27037.779877449	3789.9096262564	12855.7062990817	34027.315554525	3954.87487535834	8614.62478560807	27734.4359802155	28246.1797006327	3673.8499253273	8765.76341507634	5385.58317245607	12762.0277855648
IRF9	1235.86131470573	3508.44305209952	423.020682886589	82.1117506406024	1049.54847206263	628.597874921396	977.219138027915	80.7644667275617	2000.18397533338	3214.81615674065	739.455663437361	1217.22996591295	962.972632681508	473.265003611662	1323.47437943843	869.99029567974	316.157299985535	3241.33378541755	1984.99985771981	208.259749400784	622.230121251579	782.159576402669	566.484166271932
ARNTL	1239.53351442536	2469.77720695871	303.233400028361	108.743904698862	996.408734421193	232.715974452099	1018.9163577225	48.5414210977598	1261.50909691495	3122.01898333756	762.321061600021	2043.93696536716	351.424332892517	994.00408835469	1380.3968876153	1084.81851404213	599.021973591574	1999.29263938258	1609.64454341357	224.419922119316	429.434647736827	231.813392247957	399.926622187412
DACH1	336.350071787011	1758.82788616834	994.433754622522	10.712254366863	803.352623564249	399.890443004278	60.3322482609438	9.05537597752085	1045.55246422091	223.043579065662	90.8689964304075	682.581802533017	94.1547470190093	385.329509390753	221.363242854297	177.466554698564	34.6471105474914	579.078549088277	384.16908713986	57.9425861172264	82.0144004519142	130.195783972183	64.5108707404778
ESRRG	40.5709357029445	5.63070242988489	0	10.3908553923098	8.43052817863756	239.887963948348	7.71405590274641	0.713182357457555	73.5279846733093	53.0527893145037	40.4150942835204	98.7256745020379	121.684448841501	132.174985401573	430.36332984563	6.36636336200469	8.10404849235261	26.1076755713253	17.1291863888804	0.973288128671566	24.72450886878	14.7680131565812	8.24768150130556
FOSL1	1470.33466529651	164.729487631207	151.575470399659	708.035454811162	361.699837286851	34.7801209654421	476.600110293706	21.9333549035464	231.745596046655	82.0879377685198	971.162331765322	3937.0844220933	97.8481534712521	226.750014220371	300.816514470177	1356.20222537502	161.832448054567	506.283972559853	105.210016887163	208.506679393748	540.908151287447	906.173082792852	118.233770598269
IKZF3	2349.99066495114	6260.51632594611	553.433241173288	19.3445727689077	1248.75818917523	1.02587994608175	1433.66534203025	57.1311629974151	1354.14856159686	23117.8495952608	1362.91262699199	219.603564293732	689.871488150576	1382.72054096646	6704.75877135703	1645.89063686526	1249.36000120572	10683.7229994396	9689.10407098992	899.312265223265	778.777043743404	361.144645380599	396.685251884838
DLX2	81.5313706192427	7.03078430206729	1.00237031924276	1.86449257004624	42.5604179340769	2.50069326088133	98.0461747476662	2.67473572319139	2.21950518418229	36.1434849874073	0	44.4724936592335	0	14.0392416144056	16.5388023226055	13.7412870041105	22.0605121072776	32.3928275014011	8.754032415658	8.15296900893074	0	10.6916799906133	15.8949569832981
HIF1A	8874.24902608969	13947.5511981465	3871.57577448424	442.591425194563	2677.93610899693	1647.90825667731	1980.21173023414	1085.0207359298	5877.15991657339	12849.8236324203	2353.93102306566	7351.50618954037	2011.51136939475	5334.31636057692	5083.11172267646	3027.95479908658	1357.91290688245	10252.4065285421	6059.85983583145	705.231020364174	3768.54379180958	2689.80901726334	2029.4719660749
