PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	4	E11	49815	17971	16809	ENSG00000160062	16809	ENSG00000160062	Yes	E	11
AD2U	4	E12	793	81	0	NA	19	P03169	NA	E	12
PGADT7	4	E12	330	16	0	NA	3	ENSG00000163320	NA	E	12
AD2U	4	F01	111595	61305	57269	A3F908	57269	A3F908	Yes	F	01
PGADT7	4	F01	2009	309	0	NA	81	ENSG00000163320	NA	F	01
AD2U	4	F02	66307	34004	30934	P14079	30934	P14079	Yes	F	02
PGADT7	4	F02	2140	245	0	NA	51	ENSG00000290292	NA	F	02
AD2U	4	F03	3930	290	0	NA	69	P03256	NA	F	03
PGADT7	4	F03	2496	95	0	NA	14	ENSG00000163320	NA	F	03
AD2U	4	F04	60693	27077	24400	P06930	24400	P06930	Yes	F	04
PGADT7	4	F04	866	173	12	ENSG00000141646	34	ENSG00000163320	No	F	04
AD2U	4	F05	214679	57269	48583	P06932	48583	P06932	Yes	F	05
PGADT7	4	F05	49674	25783	24361	ENSG00000290292	24361	ENSG00000290292	Yes	F	05
AD2U	4	F06	226435	7958	0	P0C686	1493	P06463	No	F	06
PGADT7	4	F06	3016	672	15	ENSG00000100644	164	ENSG00000261992	No	F	06
AD2U	4	F07	9741	905	0	NA	136	P03256	NA	F	07
PGADT7	4	F07	28939	9551	8838	ENSG00000186350	8838	ENSG00000186350	Yes	F	07
AD2U	4	F08	16510	963	0	NA	146	P03256	NA	F	08
PGADT7	4	F08	12655	524	0	NA	83	ENSG00000172466	NA	F	08
AD2U	4	F09	56669	33047	30761	P03259	30761	P03259	Yes	F	09
PGADT7	4	F09	35096	13722	12858	ENSG00000158773	12858	ENSG00000158773	Yes	F	09
AD2U	4	F10	4242	290	0	NA	43	P03256	NA	F	10
PGADT7	4	F10	2381	114	0	NA	15	ENSG00000172466	NA	F	10
AD2U	4	F11	1980	1162	727	P03203	727	P03203	Yes	F	11
PGADT7	4	F11	1654	55	0	NA	8	ENSG00000163320	NA	F	11
AD2U	4	F12	5759	387	0	NA	61	P03256	NA	F	12
PGADT7	4	F12	3558	181	0	NA	22	ENSG00000163320	NA	F	12
AD2U	4	G01	11920	6096	5465	P06921	5465	P06921	Yes	G	01
PGADT7	4	G01	1514	496	389	ENSG00000123358	389	ENSG00000123358	Yes	G	01
AD2U	4	G02	55440	33251	31368	P16812	31368	P16812	Yes	G	02
PGADT7	4	G02	5460	293	0	NA	50	ENSG00000163320	NA	G	02
AD2U	4	G03	168154	99707	94027	P03259	94027	P03259	Yes	G	03
PGADT7	4	G03	3519	516	0	NA	110	ENSG00000163320	NA	G	03
AD2U	4	G04	19481	10579	9700	A3F908	9700	A3F908	Yes	G	04
PGADT7	4	G04	698	189	111	ENSG00000123358	111	ENSG00000123358	Yes	G	04
AD2U	4	G05	7530	500	0	NA	72	P03256	NA	G	05
PGADT7	4	G05	4614	200	0	NA	28	ENSG00000172466	NA	G	05
AD2U	4	G06	8504	3058	0	NA	426	P03259	NA	G	06
PGADT7	4	G06	224107	3774	0	ENSG00000106546	774	ENSG00000163320	No	G	06
AD2U	4	G07	298218	69665	58245	P03129	58245	P03129	Yes	G	07
PGADT7	4	G07	4512	806	0	NA	194	ENSG00000163320	NA	G	07
AD2U	4	G08	8689	697	0	NA	99	P03259	NA	G	08
PGADT7	4	G08	24389	8959	8484	ENSG00000172466	8484	ENSG00000172466	Yes	G	08
AD2U	4	G09	58212	26986	24242	P04498	24242	P04498	Yes	G	09
PGADT7	4	G09	9419	467	0	NA	63	ENSG00000290292	NA	G	09
AD2U	4	G10	26940	15683	14736	P03256	14736	P03256	Yes	G	10
PGADT7	4	G10	3730	1417	1265	ENSG00000115415	1265	ENSG00000115415	Yes	G	10
AD2U	4	G11	11146	5384	10	P04498	4691	ENSG00000162599	No	G	11
PGADT7	4	G11	10806	3277	2957	ENSG00000162599	2957	ENSG00000162599	Yes	G	11
AD2U	4	G12	2126	155	0	NA	28	P03256	NA	G	12
PGADT7	4	G12	1300	74	0	NA	19	ENSG00000172466	NA	G	12
AD2U	4	H01	5750	403	0	NA	64	P03256	NA	H	01
PGADT7	4	H01	3822	210	0	NA	44	ENSG00000172466	NA	H	01
AD2U	4	H02	5676	352	0	NA	51	P03259	NA	H	02
PGADT7	4	H02	3840	193	0	NA	34	ENSG00000172466	NA	H	02
AD2U	4	H03	1605	128	0	NA	18	P03256	NA	H	03
PGADT7	4	H03	672	35	0	NA	8	ENSG00000172466	NA	H	03
AD2U	4	H04	7311	423	0	NA	71	P03256	NA	H	04
PGADT7	4	H04	4572	205	0	NA	36	ENSG00000172466	NA	H	04
AD2U	4	H05	8544	516	0	NA	99	P03256	NA	H	05
PGADT7	4	H05	5183	195	0	NA	34	ENSG00000290292	NA	H	05
AD2U	4	H06	7019	518	0	NA	76	P03256	NA	H	06
PGADT7	4	H06	3935	212	0	NA	30	ENSG00000290292	NA	H	06
AD2U	4	H07	1889	113	0	NA	32	P03256	NA	H	07
PGADT7	4	H07	1101	59	0	NA	12	ENSG00000172466	NA	H	07
AD2U	4	H08	11857	792	0	NA	109	P03256	NA	H	08
PGADT7	4	H08	9923	397	0	NA	80	ENSG00000172466	NA	H	08
AD2U	4	H09	6603	504	0	NA	83	P03256	NA	H	09
PGADT7	4	H09	5103	198	0	NA	44	ENSG00000172466	NA	H	09
AD2U	4	H10	3699	291	0	NA	53	P03256	NA	H	10
PGADT7	4	H10	2540	121	0	NA	22	ENSG00000172466	NA	H	10
AD2U	4	H11	2078	149	0	NA	28	P03256	NA	H	11
PGADT7	4	H11	1232	64	0	NA	14	ENSG00000172466	NA	H	11
AD2U	4	H12	1001	149	0	NA	53	P06726	NA	H	12
PGADT7	4	H12	765	50	0	NA	7	ENSG00000163320	NA	H	12
AD2U	5	A01	331	91	0	NA	17	P03129	NA	A	01
PGADT7	5	A01	80	13	0	NA	3	ENSG00000177606	NA	A	01
AD2U	5	A02	7485	403	0	NA	77	P06788	NA	A	02
PGADT7	5	A02	3973	134	0	NA	21	ENSG00000168286	NA	A	02
AD2U	5	A03	121	24	0	NA	5	P0C746	NA	A	03
PGADT7	5	A03	53	6	0	NA	2	ENSG00000173039	NA	A	03
AD2U	5	A04	824	131	0	NA	34	P0C746	NA	A	04
PGADT7	5	A04	358	26	0	NA	7	ENSG00000177311	NA	A	04
AD2U	5	A05	9945	516	0	NA	99	P06788	NA	A	05
PGADT7	5	A05	3648	139	0	NA	23	ENSG00000168286	NA	A	05
AD2U	5	A06	5507	351	0	NA	69	P06788	NA	A	06
PGADT7	5	A06	3009	97	0	NA	9	ENSG00000177311	NA	A	06
AD2U	5	A07	760	70	0	NA	17	P03129	NA	A	07
PGADT7	5	A07	98	15	0	NA	4	ENSG00000177311	NA	A	07
AD2U	5	A08	9720	898	0	NA	351	A3F908	NA	A	08
PGADT7	5	A08	4923	153	0	NA	23	ENSG00000177311	NA	A	08
AD2U	5	A09	6148	430	0	NA	78	P03129	NA	A	09
PGADT7	5	A09	3004	105	0	NA	10	ENSG00000168286	NA	A	09
AD2U	5	A10	4119	226	0	NA	49	P0C746	NA	A	10
PGADT7	5	A10	1733	61	0	NA	7	ENSG00000177311	NA	A	10
AD2U	5	A11	5915	386	0	NA	82	P0C746	NA	A	11
PGADT7	5	A11	2821	120	0	NA	14	ENSG00000168286	NA	A	11
AD2U	5	A12	6002	371	0	NA	66	P06788	NA	A	12
PGADT7	5	A12	3346	125	0	NA	23	ENSG00000168286	NA	A	12
AD2U	5	B01	8609	571	0	NA	97	P06788	NA	B	01
PGADT7	5	B01	3800	144	0	NA	16	ENSG00000168286	NA	B	01
AD2U	5	B02	38842	1176	0	P03126	278	P0C746	No	B	02
PGADT7	5	B02	511	89	0	ENSG00000134323	13	ENSG00000177311	No	B	02
AD2U	5	B03	6229	537	0	NA	114	P06788	NA	B	03
PGADT7	5	B03	11910	285	0	ENSG00000112182	33	ENSG00000177311	No	B	03
AD2U	5	B04	4078	1074	0	NA	222	P0C746	NA	B	04
PGADT7	5	B04	75024	16789	15511	ENSG00000144747	15511	ENSG00000144747	Yes	B	04
AD2U	5	B05	9473	588	0	NA	98	P06788	NA	B	05
PGADT7	5	B05	4264	132	0	NA	25	ENSG00000168286	NA	B	05
AD2U	5	B06	6010	404	0	NA	71	P06788	NA	B	06
PGADT7	5	B06	3438	138	0	NA	19	ENSG00000168286	NA	B	06
AD2U	5	B07	6088	416	0	NA	73	P06788	NA	B	07
PGADT7	5	B07	2840	99	0	NA	17	ENSG00000168286	NA	B	07
AD2U	5	B08	7424	490	0	NA	90	P0C746	NA	B	08
PGADT7	5	B08	12259	4249	3971	ENSG00000131849	3971	ENSG00000131849	Yes	B	08
AD2U	5	B09	92377	24962	21929	P06932	21929	P06932	Yes	B	09
PGADT7	5	B09	7945	345	0	ENSG00000196705	43	ENSG00000177311	No	B	09
AD2U	5	B10	119585	29488	26131	P06788	26131	P06788	Yes	B	10
PGADT7	5	B10	6037	372	0	ENSG00000130522	57	ENSG00000177311	No	B	10
AD2U	5	B11	79902	44140	42137	P0C746	42137	P0C746	Yes	B	11
PGADT7	5	B11	15957	4772	4299	ENSG00000171223	4299	ENSG00000171223	Yes	B	11
AD2U	5	B12	70676	20291	17539	P06932	17539	P06932	Yes	B	12
PGADT7	5	B12	31932	11547	0	ENSG00000162924	10915	ENSG00000158773	No	B	12
AD2U	5	C01	7842	483	0	NA	96	P06788	NA	C	01
PGADT7	5	C01	3422	129	0	NA	18	ENSG00000177311	NA	C	01
AD2U	5	C02	92131	21488	18055	A3F906	18055	A3F906	Yes	C	02
PGADT7	5	C02	44199	3646	2737	ENSG00000177606	2737	ENSG00000177606	Yes	C	02
AD2U	5	C03	4893	314	0	NA	71	P06788	NA	C	03
PGADT7	5	C03	2400	93	0	NA	12	ENSG00000168286	NA	C	03
AD2U	5	C04	5448	362	0	NA	71	P0C746	NA	C	04
PGADT7	5	C04	3183	199	0	NA	88	ENSG00000177311	NA	C	04
AD2U	5	C05	34742	8625	7572	P06788	7572	P06788	Yes	C	05
PGADT7	5	C05	8885	3119	2899	ENSG00000168286	2899	ENSG00000168286	Yes	C	05
AD2U	5	C06	3618	643	0	NA	126	P06788	NA	C	06
PGADT7	5	C06	35782	11999	11374	ENSG00000170345	11374	ENSG00000170345	Yes	C	06
AD2U	5	C07	6724	500	0	NA	118	P06788	NA	C	07
PGADT7	5	C07	3274	144	0	NA	24	ENSG00000168286	NA	C	07
AD2U	5	C08	139767	32349	28343	P03129	28343	P03129	Yes	C	08
PGADT7	5	C08	3797	369	0	ENSG00000196705	58	ENSG00000177311	No	C	08
AD2U	5	C09	3058	380	0	NA	74	P0C746	NA	C	09
PGADT7	5	C09	15714	3286	2928	ENSG00000137203	2928	ENSG00000137203	Yes	C	09
AD2U	5	C10	4848	367	0	NA	68	P06788	NA	C	10
PGADT7	5	C10	3243	98	0	NA	11	ENSG00000177606	NA	C	10
AD2U	5	C11	5648	361	0	NA	68	P06788	NA	C	11
PGADT7	5	C11	4100	102	0	NA	22	ENSG00000177311	NA	C	11
AD2U	5	C12	5612	2819	2454	Q2HR73	2454	Q2HR73	Yes	C	12
PGADT7	5	C12	12037	315	0	NA	41	ENSG00000168286	NA	C	12
AD2U	5	D01	5590	331	0	NA	67	P06788	NA	D	01
PGADT7	5	D01	2524	96	0	NA	19	ENSG00000168286	NA	D	01
AD2U	5	D02	31364	7777	6628	A3F906	6628	A3F906	Yes	D	02
PGADT7	5	D02	4940	179	0	ENSG00000196705	28	ENSG00000177311	No	D	02
AD2U	5	D03	104476	25710	22574	P03129	22574	P03129	Yes	D	03
PGADT7	5	D03	5318	1443	1062	ENSG00000261992	1062	ENSG00000261992	Yes	D	03
AD2U	5	D04	133459	58330	53592	P06930	53592	P06930	Yes	D	04
PGADT7	5	D04	2377	326	0	NA	68	ENSG00000177311	NA	D	04
AD2U	5	D05	99376	54774	51920	P0C746	51920	P0C746	Yes	D	05
PGADT7	5	D05	22431	7628	6951	ENSG00000197063	6951	ENSG00000197063	Yes	D	05
AD2U	5	D06	94425	52398	50078	P0C746	50078	P0C746	Yes	D	06
PGADT7	5	D06	21951	11710	11098	ENSG00000177606	11098	ENSG00000177606	Yes	D	06
AD2U	5	D07	4960	533	0	NA	105	P0C746	NA	D	07
PGADT7	5	D07	21502	7723	7319	ENSG00000261992	7319	ENSG00000261992	Yes	D	07
AD2U	5	D08	138101	34442	30690	P06788	30690	P06788	Yes	D	08
PGADT7	5	D08	2188	325	0	ENSG00000133740	42	ENSG00000177311	No	D	08
AD2U	5	D09	7924	509	0	NA	120	P06788	NA	D	09
PGADT7	5	D09	4022	169	0	NA	31	ENSG00000168286	NA	D	09
AD2U	5	D10	14781	759	0	NA	132	P0C746	NA	D	10
PGADT7	5	D10	604	32	0	ENSG00000134323	5	ENSG00000177606	No	D	10
AD2U	5	D11	11885	567	0	NA	98	P06788	NA	D	11
PGADT7	5	D11	208	20	0	ENSG00000137504	6	ENSG00000177311	No	D	11
AD2U	5	D12	34296	17490	16320	P06726	16320	P06726	Yes	D	12
PGADT7	5	D12	681	115	23	ENSG00000005102	23	ENSG00000005102	Yes	D	12
AD2U	5	E01	5582	312	0	NA	54	P06788	NA	E	01
PGADT7	5	E01	2287	95	0	NA	12	ENSG00000168286	NA	E	01
AD2U	5	E02	34793	18440	16972	P06790	16972	P06790	Yes	E	02
PGADT7	5	E02	13689	2988	2675	ENSG00000188295	2675	ENSG00000188295	Yes	E	02
AD2U	5	E03	60316	15004	13270	P06788	13270	P06788	Yes	E	03
PGADT7	5	E03	1240	179	0	NA	31	ENSG00000177311	NA	E	03
AD2U	5	E04	8798	532	0	NA	125	P06788	NA	E	04
PGADT7	5	E04	3704	137	0	NA	18	ENSG00000168286	NA	E	04
AD2U	5	E05	5121	338	0	NA	57	P0C746	NA	E	05
PGADT7	5	E05	2641	88	0	NA	15	ENSG00000168286	NA	E	05
AD2U	5	E06	20693	10072	8879	P06921	8879	P06921	Yes	E	06
PGADT7	5	E06	26990	8411	7760	ENSG00000198040	7760	ENSG00000198040	Yes	E	06
AD2U	5	E07	2988	607	0	NA	145	P0C746	NA	E	07
PGADT7	5	E07	34966	11839	11354	ENSG00000177311	11354	ENSG00000177311	Yes	E	07
AD2U	5	E08	115922	4980	2196	P03129	2196	P03129	Yes	E	08
PGADT7	5	E08	3610	289	0	ENSG00000157554	53	ENSG00000177311	No	E	08
AD2U	5	E09	7554	526	0	NA	91	P06788	NA	E	09
PGADT7	5	E09	4301	174	0	NA	17	ENSG00000168286	NA	E	09
AD2U	5	E10	5135	576	0	NA	130	P0C746	NA	E	10
PGADT7	5	E10	28477	10570	10124	ENSG00000136997	10124	ENSG00000136997	Yes	E	10
AD2U	5	E11	7680	407	0	NA	69	P06788	NA	E	11
PGADT7	5	E11	2031	107	0	NA	13	ENSG00000168286	NA	E	11
AD2U	5	E12	120213	55406	49311	A3F905	49311	A3F905	Yes	E	12
PGADT7	5	E12	160934	2980	17	ENSG00000078900	453	ENSG00000177311	No	E	12
AD2U	5	F01	8853	513	0	NA	85	P06788	NA	F	01
PGADT7	5	F01	3775	167	0	NA	24	ENSG00000168286	NA	F	01
AD2U	5	F02	4207	660	0	NA	133	P0C746	NA	F	02
PGADT7	5	F02	38731	12875	12293	ENSG00000173039	12293	ENSG00000173039	Yes	F	02
AD2U	5	F03	4679	285	0	NA	61	P06788	NA	F	03
PGADT7	5	F03	2374	86	0	NA	15	ENSG00000177311	NA	F	03
AD2U	5	F04	7903	2134	0	NA	529	P0C746	NA	F	04
PGADT7	5	F04	163226	2575	32	ENSG00000168610	355	ENSG00000177311	No	F	04
AD2U	5	F05	18809	9721	9132	P06921	9132	P06921	Yes	F	05
PGADT7	5	F05	457	41	0	NA	8	ENSG00000177606	NA	F	05
AD2U	5	F06	153911	20370	14674	F5HES7	14674	F5HES7	Yes	F	06
PGADT7	5	F06	2461	347	0	ENSG00000005102	59	ENSG00000177311	No	F	06
AD2U	5	F07	106733	52037	48298	P06463	48298	P06463	Yes	F	07
PGADT7	5	F07	1670	232	0	ENSG00000109101	42	ENSG00000177311	No	F	07
AD2U	5	F08	130906	30775	26827	P03129	26827	P03129	Yes	F	08
PGADT7	5	F08	30990	5352	4563	ENSG00000177606	4563	ENSG00000177606	Yes	F	08
AD2U	5	F09	8305	945	0	NA	476	ENSG00000144747	NA	F	09
PGADT7	5	F09	3760	129	0	NA	22	ENSG00000168286	NA	F	09
AD2U	5	F10	149238	31615	26772	A3F906	26772	A3F906	Yes	F	10
PGADT7	5	F10	5973	439	0	ENSG00000130522	71	ENSG00000177311	No	F	10
AD2U	5	F11	138053	39960	35010	P06932	35010	P06932	Yes	F	11
PGADT7	5	F11	21797	6313	5492	ENSG00000171223	5492	ENSG00000171223	Yes	F	11
AD2U	5	F12	21404	11283	10366	P03203	10366	P03203	Yes	F	12
PGADT7	5	F12	375	56	0	ENSG00000135457	12	ENSG00000177606	No	F	12
AD2U	5	G01	4068	273	0	NA	61	P06788	NA	G	01
PGADT7	5	G01	1668	72	0	NA	10	ENSG00000168286	NA	G	01
AD2U	5	G02	398	29	0	NA	7	P06932	NA	G	02
PGADT7	5	G02	510	18	0	ENSG00000170689	6	ENSG00000168286	No	G	02
AD2U	5	G03	6629	1717	0	NA	398	P0C746	NA	G	03
PGADT7	5	G03	144748	2167	0	ENSG00000086102	332	ENSG00000177311	No	G	03
AD2U	5	G04	146199	34332	29746	P03129	29746	P03129	Yes	G	04
PGADT7	5	G04	3790	700	267	ENSG00000172262	267	ENSG00000172262	Yes	G	04
AD2U	5	G05	7248	524	0	NA	91	P06788	NA	G	05
PGADT7	5	G05	3450	145	0	NA	21	ENSG00000168286	NA	G	05
AD2U	5	G06	519	53	0	NA	12	P06788	NA	G	06
PGADT7	5	G06	232	13	0	NA	3	ENSG00000177311	NA	G	06
AD2U	5	G07	32058	16077	14374	P03120	14374	P03120	Yes	G	07
PGADT7	5	G07	24815	8131	7625	ENSG00000177311	7625	ENSG00000177311	Yes	G	07
AD2U	5	G08	136806	74944	71461	P0C746	71461	P0C746	Yes	G	08
PGADT7	5	G08	1996	292	0	ENSG00000178573	46	ENSG00000177311	No	G	08
AD2U	5	G09	94012	50623	47422	P0C746	47422	P0C746	Yes	G	09
PGADT7	5	G09	37611	12738	11834	ENSG00000153879	11834	ENSG00000153879	Yes	G	09
AD2U	5	G10	147387	35018	30825	P03129	30825	P03129	Yes	G	10
PGADT7	5	G10	2241	330	3	ENSG00000125347	61	ENSG00000177311	No	G	10
AD2U	5	G11	152512	25946	19948	P04608	19948	P04608	Yes	G	11
PGADT7	5	G11	3226	485	63	ENSG00000186660	66	ENSG00000177311	No	G	11
AD2U	5	G12	181774	46171	40955	P06788	40955	P06788	Yes	G	12
PGADT7	5	G12	17687	5236	4436	ENSG00000170345	4436	ENSG00000170345	Yes	G	12
AD2U	5	H01	6698	414	0	NA	79	P06788	NA	H	01
PGADT7	5	H01	2883	136	0	NA	20	ENSG00000168286	NA	H	01
AD2U	5	H02	71109	36449	33753	P03120	33753	P03120	Yes	H	02
PGADT7	5	H02	1408	238	60	ENSG00000116044	60	ENSG00000116044	Yes	H	02
AD2U	5	H03	157	22	0	NA	6	P03129	NA	H	03
PGADT7	5	H03	43	3	0	NA	1	ENSG00000153879	NA	H	03
AD2U	5	H04	24355	11520	9871	P06921	9871	P06921	Yes	H	04
PGADT7	5	H04	40334	13271	12426	ENSG00000177311	12426	ENSG00000177311	Yes	H	04
AD2U	5	H05	157065	36928	32222	P03129	32222	P03129	Yes	H	05
PGADT7	5	H05	19413	6488	5841	ENSG00000168286	5841	ENSG00000168286	Yes	H	05
AD2U	5	H06	154901	38016	33130	P03129	33130	P03129	Yes	H	06
PGADT7	5	H06	16936	4732	4010	ENSG00000171223	4010	ENSG00000171223	Yes	H	06
AD2U	5	H07	184953	48058	42781	P06788	42781	P06788	Yes	H	07
PGADT7	5	H07	3501	444	0	ENSG00000196705	66	ENSG00000177311	No	H	07
AD2U	5	H08	8870	679	0	NA	118	P06788	NA	H	08
PGADT7	5	H08	12770	4000	3727	ENSG00000128272	3727	ENSG00000128272	Yes	H	08
AD2U	5	H09	60556	31912	29548	A3F908	29548	A3F908	Yes	H	09
PGADT7	5	H09	15884	3544	3119	ENSG00000188295	3119	ENSG00000188295	Yes	H	09
AD2U	5	H10	8202	523	0	NA	104	P0C746	NA	H	10
PGADT7	5	H10	3419	159	0	NA	24	ENSG00000177311	NA	H	10
AD2U	5	H11	8620	2471	168	A3F906	557	P0C746	No	H	11
PGADT7	5	H11	57634	471	0	ENSG00000133740	69	ENSG00000177311	No	H	11
AD2U	5	H12	19062	1075	0	NA	264	P06788	NA	H	12
PGADT7	5	H12	534	62	0	ENSG00000109101	15	ENSG00000177311	No	H	12
AD2U	6	A01	4220	345	0	NA	52	P06930	NA	A	01
PGADT7	6	A01	1824	61	0	NA	6	ENSG00000173480	NA	A	01
AD2U	6	A02	8544	494	0	NA	87	P06788	NA	A	02
PGADT7	6	A02	4480	136	0	NA	14	ENSG00000166949	NA	A	02
AD2U	6	A03	235	34	0	NA	12	P06788	NA	A	03
PGADT7	6	A03	46	3	0	NA	1	ENSG00000158773	NA	A	03
AD2U	6	A04	7816	488	0	NA	71	P06930	NA	A	04
PGADT7	6	A04	3479	116	0	NA	16	ENSG00000166949	NA	A	04
AD2U	6	A05	10195	529	0	NA	91	P06788	NA	A	05
PGADT7	6	A05	6123	166	0	NA	19	ENSG00000172262	NA	A	05
AD2U	6	A06	10533	592	0	NA	116	P06788	NA	A	06
PGADT7	6	A06	6819	142	0	NA	12	ENSG00000166949	NA	A	06
AD2U	6	A07	542	93	0	NA	24	P06788	NA	A	07
PGADT7	6	A07	168	12	0	NA	2	ENSG00000137504	NA	A	07
AD2U	6	A08	12869	1787	0	NA	1178	A3F908	NA	A	08
PGADT7	6	A08	7933	175	0	NA	17	ENSG00000172262	NA	A	08
AD2U	6	A09	8737	502	0	NA	91	P06788	NA	A	09
PGADT7	6	A09	4007	122	0	NA	10	ENSG00000172262	NA	A	09
AD2U	6	A10	7217	483	0	NA	84	P06788	NA	A	10
PGADT7	6	A10	3118	98	0	NA	15	ENSG00000166949	NA	A	10
AD2U	6	A11	4882	367	0	NA	50	P06788	NA	A	11
PGADT7	6	A11	2469	87	0	NA	10	ENSG00000172262	NA	A	11
AD2U	6	A12	5547	394	0	NA	80	P06788	NA	A	12
PGADT7	6	A12	3486	99	0	NA	9	ENSG00000172262	NA	A	12
AD2U	6	B01	188530	41556	35379	A3F906	35379	A3F906	Yes	B	01
PGADT7	6	B01	5437	934	634	ENSG00000261992	634	ENSG00000261992	Yes	B	01
AD2U	6	B02	26540	11971	11092	P06930	11092	P06930	Yes	B	02
PGADT7	6	B02	5905	1885	1785	ENSG00000166949	1785	ENSG00000166949	Yes	B	02
AD2U	6	B03	175277	31258	24819	P04608	24819	P04608	Yes	B	03
PGADT7	6	B03	2945	278	0	ENSG00000005102	38	ENSG00000153879	No	B	03
AD2U	6	B04	66812	33810	31696	A3F908	31696	A3F908	Yes	B	04
PGADT7	6	B04	4561	150	0	ENSG00000278062	22	ENSG00000153879	No	B	04
AD2U	6	B05	1959	96	0	NA	21	P0C746	NA	B	05
PGADT7	6	B05	1143	20	0	NA	5	ENSG00000172262	NA	B	05
AD2U	6	B06	12709	1115	0	NA	213	P06788	NA	B	06
PGADT7	6	B06	54898	16650	0	ENSG00000153560	16072	ENSG00000137504	No	B	06
AD2U	6	B07	20612	1984	0	P03126	355	P06788	No	B	07
PGADT7	6	B07	110550	1043	6	ENSG00000078900	120	ENSG00000153879	No	B	07
AD2U	6	B08	355131	9535	484	A3F906	1666	P06788	No	B	08
PGADT7	6	B08	4980	394	0	ENSG00000157554	55	ENSG00000153879	No	B	08
AD2U	6	B09	9689	512	0	NA	73	P06788	NA	B	09
PGADT7	6	B09	2836	808	730	ENSG00000082641	730	ENSG00000082641	Yes	B	09
AD2U	6	B10	13787	611	0	NA	90	P06788	NA	B	10
PGADT7	6	B10	1534	368	313	ENSG00000162702	313	ENSG00000162702	Yes	B	10
AD2U	6	B11	3268	264	0	NA	52	P06788	NA	B	11
PGADT7	6	B11	1931	55	0	NA	7	ENSG00000153879	NA	B	11
AD2U	6	B12	4603	322	0	NA	60	P06788	NA	B	12
PGADT7	6	B12	2221	52	0	NA	6	ENSG00000172262	NA	B	12
AD2U	6	C01	173466	46782	42321	P06788	42321	P06788	Yes	C	01
PGADT7	6	C01	2918	280	73	ENSG00000131849	73	ENSG00000131849	Yes	C	01
AD2U	6	C02	1306	392	150	P03204	150	P03204	Yes	C	02
PGADT7	6	C02	10833	205	0	NA	16	ENSG00000166949	NA	C	02
AD2U	6	C03	82962	41874	39128	A3F908	39128	A3F908	Yes	C	03
PGADT7	6	C03	4868	1349	1203	ENSG00000173153	1203	ENSG00000173153	Yes	C	03
AD2U	6	C04	52020	24682	22398	P06790	22398	P06790	Yes	C	04
PGADT7	6	C04	25557	7153	6653	ENSG00000198040	6653	ENSG00000198040	Yes	C	04
AD2U	6	C05	180753	47500	42479	P06932	42479	P06932	Yes	C	05
PGADT7	6	C05	2646	258	0	ENSG00000133740	37	ENSG00000153879	No	C	05
AD2U	6	C06	211258	55107	48896	P06932	48896	P06932	Yes	C	06
PGADT7	6	C06	10240	2511	2092	ENSG00000261992	2092	ENSG00000261992	Yes	C	06
AD2U	6	C07	5280	396	0	NA	77	P06930	NA	C	07
PGADT7	6	C07	1855	82	0	NA	16	ENSG00000166949	NA	C	07
AD2U	6	C08	11566	5675	5097	Q2HR71	5097	Q2HR71	Yes	C	08
PGADT7	6	C08	4085	122	0	NA	8	ENSG00000153879	NA	C	08
AD2U	6	C09	12411	737	0	NA	135	P06788	NA	C	09
PGADT7	6	C09	7566	2670	2557	ENSG00000124813	2557	ENSG00000124813	Yes	C	09
AD2U	6	C10	11864	3102	0	NA	538	P06788	NA	C	10
PGADT7	6	C10	6506	393	0	ENSG00000130522	60	ENSG00000166949	No	C	10
AD2U	6	C11	6831	3254	2788	P03203	2788	P03203	Yes	C	11
PGADT7	6	C11	11567	3565	3366	ENSG00000113916	3366	ENSG00000113916	Yes	C	11
AD2U	6	C12	9798	539	0	NA	97	P06788	NA	C	12
PGADT7	6	C12	5924	164	0	NA	16	ENSG00000172262	NA	C	12
AD2U	6	D01	4726	358	0	NA	47	P06788	NA	D	01
PGADT7	6	D01	2314	82	0	NA	13	ENSG00000172262	NA	D	01
AD2U	6	D02	153665	45337	40777	P06932	40777	P06932	Yes	D	02
PGADT7	6	D02	4377	783	543	ENSG00000282899	543	ENSG00000282899	Yes	D	02
AD2U	6	D03	53366	1983	0	Q77Q82	359	P06788	No	D	03
PGADT7	6	D03	6396	201	0	NA	22	ENSG00000172262	NA	D	03
AD2U	6	D04	18262	1028	0	NA	175	P06788	NA	D	04
PGADT7	6	D04	14667	4328	4075	ENSG00000166478	4075	ENSG00000166478	Yes	D	04
AD2U	6	D05	42552	10356	9166	P06788	9166	P06788	Yes	D	05
PGADT7	6	D05	9075	2657	2477	ENSG00000172262	2477	ENSG00000172262	Yes	D	05
AD2U	6	D06	16608	799	0	NA	125	P06788	NA	D	06
PGADT7	6	D06	10835	248	0	NA	26	ENSG00000166949	NA	D	06
AD2U	6	D07	8991	2644	4	P03204	452	P06788	No	D	07
PGADT7	6	D07	202363	1997	16	ENSG00000078900	256	ENSG00000153879	No	D	07
AD2U	6	D08	221774	54843	49237	P06788	49237	P06788	Yes	D	08
PGADT7	6	D08	3142	281	2	ENSG00000005102	51	ENSG00000153879	No	D	08
AD2U	6	D09	208787	93619	87241	P06930	87241	P06930	Yes	D	09
