PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	1	E01	1538	45	0	NA	8	ENSG00000162599	NA	E	01
AD2U	1	E02	69821	18001	15062	P06788	15062	P06788	Yes	E	02
PGADT7	1	E02	1114	178	0	NA	42	ENSG00000163320	NA	E	02
AD2U	1	E03	23642	1264	0	NA	176	P03255	NA	E	03
PGADT7	1	E03	17452	549	0	NA	90	ENSG00000163320	NA	E	03
AD2U	1	E04	20370	1162	0	NA	138	P03255	NA	E	04
PGADT7	1	E04	25569	550	0	ENSG00000185591	103	ENSG00000163320	No	E	04
AD2U	1	E05	3357	1487	1373	P14079	1373	P14079	Yes	E	05
PGADT7	1	E05	84	20	15	ENSG00000115966	15	ENSG00000115966	Yes	E	05
AD2U	1	E06	2567	139	0	NA	18	P03256	NA	E	06
PGADT7	1	E06	1634	62	0	NA	10	ENSG00000163320	NA	E	06
AD2U	1	E07	117977	3346	0	P0C686	458	P03255	No	E	07
PGADT7	1	E07	1248	227	1	ENSG00000127445	62	ENSG00000163320	No	E	07
AD2U	1	E08	5089	2459	2273	P11806	2273	P11806	Yes	E	08
PGADT7	1	E08	279	81	62	ENSG00000083838	62	ENSG00000083838	Yes	E	08
AD2U	1	E09	86504	40499	37482	P03238	37482	P03238	Yes	E	09
PGADT7	1	E09	6568	1901	0	ENSG00000141510	1596	ENSG00000169016	No	E	09
AD2U	1	E10	119	24	0	NA	11	P03256	NA	E	10
PGADT7	1	E10	309	95	87	ENSG00000100811	87	ENSG00000100811	Yes	E	10
AD2U	1	E11	35352	18596	17527	P0C746	17527	P0C746	Yes	E	11
PGADT7	1	E11	415	69	7	ENSG00000115966	16	ENSG00000163320	No	E	11
AD2U	1	E12	61360	1870	0	P0C686	277	P03255	No	E	12
PGADT7	1	E12	21520	6807	6402	ENSG00000162772	6402	ENSG00000162772	Yes	E	12
AD2U	1	F01	3715	216	0	NA	47	ENSG00000196482	NA	F	01
PGADT7	1	F01	2035	70	0	NA	12	ENSG00000162772	NA	F	01
AD2U	1	F02	16435	7484	6863	P06921	6863	P06921	Yes	F	02
PGADT7	1	F02	486	47	0	NA	9	ENSG00000163320	NA	F	02
AD2U	1	F03	7819	3259	2137	P03204	2137	P03204	Yes	F	03
PGADT7	1	F03	61893	14503	13407	ENSG00000168214	13407	ENSG00000168214	Yes	F	03
AD2U	1	F04	102952	51093	47612	P03259	47612	P03259	Yes	F	04
PGADT7	1	F04	11482	3140	2649	ENSG00000115966	2649	ENSG00000115966	Yes	F	04
AD2U	1	F05	4936	241	0	NA	27	P03255	NA	F	05
PGADT7	1	F05	2865	86	0	NA	14	ENSG00000163320	NA	F	05
AD2U	1	F06	46206	23192	21399	P03259	21399	P03259	Yes	F	06
PGADT7	1	F06	6908	1999	1740	ENSG00000126351	1740	ENSG00000126351	Yes	F	06
AD2U	1	F07	4329	1021	0	NA	130	P03256	NA	F	07
PGADT7	1	F07	67907	21816	20986	ENSG00000163320	20986	ENSG00000163320	Yes	F	07
AD2U	1	F08	88812	45129	42327	P0C746	42327	P0C746	Yes	F	08
PGADT7	1	F08	10294	2731	2352	ENSG00000175197	2352	ENSG00000175197	Yes	F	08
AD2U	1	F09	39429	19520	17975	P03256	17975	P03256	Yes	F	09
PGADT7	1	F09	36642	10938	10250	ENSG00000162772	10250	ENSG00000162772	Yes	F	09
AD2U	1	F10	2883	393	0	NA	189	ENSG00000175197	NA	F	10
PGADT7	1	F10	1137	48	0	NA	8	ENSG00000163320	NA	F	10
AD2U	1	F11	3786	224	0	NA	29	P03255	NA	F	11
PGADT7	1	F11	1612	53	0	NA	7	ENSG00000162772	NA	F	11
AD2U	1	F12	3181	629	0	NA	87	P03255	NA	F	12
PGADT7	1	F12	40503	13379	12675	ENSG00000137947	12675	ENSG00000137947	Yes	F	12
AD2U	1	G01	2165	98	0	NA	11	P03256	NA	G	01
PGADT7	1	G01	1218	51	0	NA	7	ENSG00000163320	NA	G	01
AD2U	1	G02	2218	117	0	NA	17	P03255	NA	G	02
PGADT7	1	G02	2887	883	807	ENSG00000115415	807	ENSG00000115415	Yes	G	02
AD2U	1	G03	21830	8240	28	P11806	6816	ENSG00000162599	No	G	03
PGADT7	1	G03	51683	12502	11418	ENSG00000162599	11418	ENSG00000162599	Yes	G	03
AD2U	1	G04	194127	70358	64171	Q9JFM0	64171	Q9JFM0	Yes	G	04
PGADT7	1	G04	63680	21238	20063	ENSG00000163320	20063	ENSG00000163320	Yes	G	04
AD2U	1	G05	10164	478	0	NA	66	P03255	NA	G	05
PGADT7	1	G05	339	58	26	ENSG00000066336	26	ENSG00000066336	Yes	G	05
AD2U	1	G06	22594	10829	10029	P11806	10029	P11806	Yes	G	06
PGADT7	1	G06	1306	85	0	NA	24	ENSG00000163320	NA	G	06
AD2U	1	G07	48361	23623	21852	P06790	21852	P06790	Yes	G	07
PGADT7	1	G07	2087	620	457	ENSG00000123358	457	ENSG00000123358	Yes	G	07
AD2U	1	G08	86453	3073	0	P36710	420	P03255	No	G	08
PGADT7	1	G08	1662	370	102	ENSG00000205250	102	ENSG00000205250	Yes	G	08
AD2U	1	G09	3856	1807	854	P12977	854	P12977	Yes	G	09
PGADT7	1	G09	6347	187	0	NA	29	ENSG00000163320	NA	G	09
AD2U	1	G10	17375	8027	6489	P03259	6489	P03259	Yes	G	10
PGADT7	1	G10	99445	1557	4	ENSG00000170653	356	ENSG00000163320	No	G	10
AD2U	1	G11	2852	169	0	NA	19	P03259	NA	G	11
PGADT7	1	G11	1576	59	0	NA	8	ENSG00000168214	NA	G	11
AD2U	1	G12	39597	18233	16798	P06463	16798	P06463	Yes	G	12
PGADT7	1	G12	622	123	14	ENSG00000141646	26	ENSG00000163320	No	G	12
AD2U	1	H01	3846	228	0	NA	28	P03255	NA	H	01
PGADT7	1	H01	2049	77	0	NA	14	ENSG00000163320	NA	H	01
AD2U	1	H02	2002	114	0	NA	18	P03255	NA	H	02
PGADT7	1	H02	983	33	0	NA	5	ENSG00000126351	NA	H	02
